Learning_Rate, Max_Iterations, Tolerance, Alpha, MSE, R2
constant, 1000, 0.01, 0.0001, 3.1428507280652838, 0.1723203554916693
optimal, 100, 0.0001, 0.0001, 6.906899912010204e+22, -1.84421406430462e+22
optimal, 100, 0.001, 0.0001, 6.906899912010204e+22, -1.84421406430462e+22
optimal, 100, 0.01, 0.0001, 6.906899912010204e+22, -1.84421406430462e+22
optimal, 500, 0.0001, 0.0001, 1.548760884391932e+23, -4.070932381487488e+22
optimal, 500, 0.001, 0.0001, 1.548760884391932e+23, -4.070932381487488e+22
optimal, 500, 0.01, 0.0001, 1.548760884391932e+23, -4.070932381487488e+22
optimal, 1000, 0.0001, 0.0001, 1.548760884391932e+23, -4.070932381487488e+22
optimal, 1000, 0.001, 0.0001, 1.548760884391932e+23, -4.070932381487488e+22
optimal, 1000, 0.01, 0.0001, 1.548760884391932e+23, -4.070932381487488e+22
invscaling, 100, 0.0001, 0.0001, 2.793230733174978, 0.26363044848405864
invscaling, 100, 0.001, 0.0001, 2.8006145512121763, 0.2617894272976268
invscaling, 100, 0.01, 0.0001, 2.7998341079022313, 0.2618768745675082
invscaling, 500, 0.0001, 0.0001, 2.793230733174978, 0.26363044848405864
invscaling, 500, 0.001, 0.0001, 2.8006145512121763, 0.2617894272976268
invscaling, 500, 0.01, 0.0001, 2.7998341079022313, 0.2618768745675082
invscaling, 1000, 0.0001, 0.0001, 2.793230733174978, 0.26363044848405864
invscaling, 1000, 0.001, 0.0001, 2.8006145512121763, 0.2617894272976268
invscaling, 1000, 0.01, 0.0001, 2.7998341079022313, 0.2618768745675082
adaptive, 100, 0.0001, 0.0001, 2.8015405145098624, 0.2615000313382224
adaptive, 100, 0.001, 0.0001, 2.8014182058310575, 0.26153609179307036
adaptive, 100, 0.01, 0.0001, 2.8026025575108355, 0.26120978713892445
adaptive, 500, 0.0001, 0.0001, 2.8015405145098624, 0.2615000313382224
adaptive, 500, 0.001, 0.0001, 2.8014182058310575, 0.26153609179307036
adaptive, 500, 0.01, 0.0001, 2.8026025575108355, 0.26120978713892445
adaptive, 1000, 0.0001, 0.0001, 2.8015405145098624, 0.2615000313382224
adaptive, 1000, 0.001, 0.0001, 2.8014182058310575, 0.26153609179307036
adaptive, 1000, 0.01, 0.0001, 2.8026025575108355, 0.26120978713892445
constant, 100, 0.0001, 0.001, 2.8017404996488167, 0.2614107847544148
constant, 100, 0.001, 0.001, 2.8037080322262398, 0.2608863639048475
constant, 100, 0.01, 0.001, 2.8210846920362567, 0.2563202147897276
constant, 500, 0.0001, 0.001, 2.8017404996488167, 0.2614107847544148
constant, 500, 0.001, 0.001, 2.8037080322262398, 0.2608863639048475
constant, 500, 0.01, 0.001, 2.8210846920362567, 0.2563202147897276
constant, 1000, 0.0001, 0.001, 2.8017404996488167, 0.2614107847544148
constant, 1000, 0.001, 0.001, 2.8037080322262398, 0.2608863639048475
constant, 1000, 0.01, 0.001, 2.8210846920362567, 0.2563202147897276
optimal, 100, 0.0001, 0.001, 3.1647626817950325, 0.16669782220938623
optimal, 100, 0.001, 0.001, 3.1647626817950325, 0.16669782220938623
